android eng 1
开发 v 0
工程师 n 0
专科 n 0
一年 m 0
安卓 nz 1
开发 v 0
工作 vn 0
经验 n 0
掌握 v 0
安卓 nz 1
sdk eng 1
相关 v 0
技术开发 n 0
应用 v 0
了解 v 0
面向对象编程 l 0
mvc eng 1
框架 n 0
有线 n 0
作品 n 0
优先 vn 0
熟悉 v 0
网络通信 nt 0
编程 n 0
多线程 nz 1
编程 n 0
实际 n 0
项目 n 0
开发 v 0
经验 n 0
熟悉 v 0
http eng 1
/ x 0
tcp eng 1
/ x 0
ip eng 1
网络 n 0
相关 v 0
技术 n 0
良好 a 0
文档 n 0
撰写 v 0
能力 n 0
模型 n 0
类 q 0
封装 v 0
能力 n 0
独立 v 0
分析 vn 0
解决问题 n 0
能力 n 0
责任心 n 0
强 a 0
能够 v 0
承受 v 0
较大 a 0
工作 vn 0
压力 n 0
良好 a 0
沟通 v 0
能力 n 0
团队 n 0
合作 vn 0
能力 n 0
负责 v 0
青驿 ns 0
app eng 1
android eng 1
版本 n 0
开发 v 0
/ x 0
测试 nz 1
需要 v 0
统招 v 0
大学本科 n 0
以上学历 l 0
获得 v 0
英语 nz 0
四级 m 0
证书 n 0
计算机相关 n 0
工科 n 0
类 q 0
专业 n 0
毕业 n 0
熟悉 v 0
数据结构 nz 1
/ x 0
操作系统 l 0
/ x 0
计算机网络 n 0
/ x 0
面向对象 n 0
程序设计 n 0
专业 n 0
基础知识 n 0
工作 vn 0
年 m 0
从事 v 0
android eng 1
相关 v 0
开发 v 0
工作 vn 0
年 m 0
熟悉 v 0
android eng 1
系统 n 0
体系结构 n 0
了解 v 0
版本 n 0
系统 n 0
差别 d 0
新 a 0
特性 n 0
熟悉 v 0
java eng 1
语言 n 0
开发 v 0
环境 n 0
熟悉 v 0
虚拟机 b 0
原理 n 0
熟悉 v 0
android eng 1
软件 n 0
开发 v 0
/ x 0
测试 nz 1
/ x 0
分发 v 0
流程 n 0
熟悉 v 0
android eng 1
开发资源 n 0
技术 n 0
框架 n 0
底层 n 0
库 n 0
ui eng 1
网络 n 0
编程 n 0
多线程 nz 1
性能 n 0
优化 vn 0
熟悉 v 0
移动 vn 0
网络通信 nt 0
机制 n 0
socket eng 1
通信 j 0
tcp eng 1
/ x 0
ip eng 1
http eng 1
/ x 0
https eng 1
有较 d 0
深刻理解 l 0
经验 n 0
掌握 v 0
常用 b 0
数据结构 nz 1
/ x 0
设计模式 n 0
事件驱动 l 0
模型 n 0
/ x 0
数据 n 0
存储 j 0
sql eng 1
本地化 j 0
良好 a 0
代码 n 0
习惯 n 0
代码 n 0
结构 n 0
清晰 a 0
/ x 0
命名 n 0
规范 n 0
/ x 0
逻辑性 n 0
强 a 0
/ x 0
冗余度 n 0
低 a 0
/ x 0
注释 v 0
清晰 a 0
学习 v 0
能力 n 0
强 a 0
热爱 a 0
移动 vn 0
互联网 n 0
爱好 a 0
旅游 vn 0
招聘 v 0
流程 n 0
一轮 m 0
技术 n 0
笔试 n 0
一轮 m 0
技术 n 0
面试 v 0
一轮 m 0
人力 n 0
素质 n 0
面试 v 0
发放 v 0
offer eng 0
负责 v 0
公司 n 0
android eng 1
产品开发 l 0
维护 v 0
参与 v 0
产品 n 0
业务 n 0
相关 v 0
技术 n 0
研究 vn 0
/ x 0
架构 n 0
制定 v 0
/ x 0
开发 v 0
文档 n 0
整理 n 0
编写 v 0
补充 v 0
说明 v 0
精通 a 0
java eng 1
语言 n 0
面向对象编程 l 0
思想 n 0
熟练掌握 i 0
常用 b 0
设计模式 n 0
具备 v 0
年 m 0
android eng 1
开发 v 0
经验 n 0
独立 v 0
承担 v 0
中型 b 0
客户端 n 0
产品 n 0
开发 v 0
维护 v 0
擅长 v 0
androidui eng 1
开发 v 0
android eng 1
平台 n 0
视频 n 0
播放 v 0
经验 n 0
优先 vn 0
掌握 v 0
软件工程 l 0
思想 n 0
能够 v 0
复杂 a 0
任务 n 0
分解 v 0
熟悉 v 0
软件 n 0
迭代 v 0
开发方法 nz 0
良好 a 0
沟通 v 0
能力 n 0
思维 n 0
敏捷 a 0
思路清晰 nr 0
工作 vn 0
积极主动 n 0
能够 v 0
承受 v 0
较大 a 0
工作 vn 0
压力 n 0
满足 v 0
下列 v 0
条件者 n 0
优先 vn 0
考虑 v 0
专 d 0
研过 v 0
android eng 1
framework eng 1
开发 v 0
网络 n 0
视频 n 0
相关 v 0
项目 n 0
负责 v 0
无线 n 0
终端 nz 1
app eng 1
产品 n 0
技术 n 0
规划 n 0
/ x 0
架构 n 0
/ x 0
项目 n 0
迭代 v 0
研发 j 0
工作岗位 n 0
描述 v 0
年 m 0
相关 v 0
工作 vn 0
经验 n 0
精通 a 0
android eng 1
应用 v 0
开发 v 0
架构 n 0
独立 v 0
承担 v 0
产品 n 0
架构设计 n 0
精通 a 0
内存 n 0
/ x 0
网络 n 0
无线 n 0
应用 v 0
相关 v 0
优化 vn 0
了解 v 0
无线 n 0
互联网 n 0
行业 n 0
趋势 n 0
无线 n 0
端 v 0
开发 v 0
主流 b 0
开发 v 0
框架 n 0
深入 v 0
研究 vn 0
强烈 a 0
责任心 n 0
团队精神 n 0
善于 v 0
沟通 v 0
合作 vn 0
良好 a 0
抗压 nz 0
能力 n 0
心态 n 0
积极 ad 0
主动 b 0
融入 v 0
团队 n 0
熟练 a 0
掌 v 0
java eng 1
语言 n 0
精通 a 0
android eng 1
平台 n 0
软件开发 l 0
年 m 0
工作 vn 0
经验 n 0
精通 a 0
android eng 1
系统 n 0
体系结构 n 0
/ x 0
ui eng 1
布局 n 0
设计 vn 0
framework eng 1
底层 n 0
库 n 0
独立 v 0
开发 v 0
项目 n 0
经验 n 0
熟练 a 0
使用 v 0
git eng 1
/ x 0
svn eng 1
代码 n 0
管理工具 n 0
计算机技术 n 0
领域 n 0
拥有 v 0
扎实 a 0
技术 n 0
功底 n 0
尤其 d 0
数据结构 nz 1
/ x 0
算法 nz 1
代码 n 0
